team_name,team,Season,fixed_name,Elo_name,UCL_Flag,EL_Flag,ECL_Flag,Europe_flag,Promoted_flag,Final_position,team_elo
Arsenal,1,1920,Arsenal,Arsenal,0,1,0,1,0,8,1870.89367676
Aston Villa,2,1920,Aston Villa,AstonVilla,0,0,0,0,1,17,1616.2142334
Bournemouth,3,1920,Bournemouth,Bournemouth,0,0,0,0,0,18,1694.90454102
Brighton,4,1920,Brighton,Brighton,0,0,0,0,0,15,1620.26965332
Burnley,5,1920,Burnley,Burnley,0,0,0,0,0,10,1685.67358398
Chelsea,6,1920,Chelsea,Chelsea,1,0,0,1,0,4,1887.0135498
Crystal Palace,7,1920,Crystal Palace,CrystalPalace,0,0,0,0,0,14,1746.54309082
Everton,8,1920,Everton,Everton,0,0,0,0,0,12,1773.67272949
Leicester,9,1920,Leicester,Leicester,0,0,0,0,0,5,1742.68151855
Liverpool,10,1920,Liverpool,Liverpool,1,0,0,1,0,1,2050.23095703
Man City,11,1920,Man City,ManCity,1,0,0,1,0,2,2041.28271484
Man Utd,12,1920,Man Utd,ManUnited,0,1,0,1,0,3,1842.23632812
Newcastle,13,1920,Newcastle,Newcastle,0,0,0,0,0,13,1719.5970459
Norwich,14,1920,Norwich,Norwich,0,0,0,0,1,20,1634.68200684
Sheffield Utd,15,1920,Sheffield Utd,SheffieldUnited,0,0,0,0,1,9,1623.57434082
Southampton,16,1920,Southampton,Southampton,0,0,0,0,0,11,1677.79638672
Tottenham,17,1920,Tottenham,Tottenham,1,0,0,1,0,6,1894.82531738
Watford,18,1920,Watford,Watford,0,0,0,0,0,19,1689.31970215
West Ham,19,1920,West Ham,WestHam,0,0,0,0,0,16,1733.45483398
Wolves,20,1920,Wolves,Wolves,0,1,0,1,0,7,1723.59387207
Arsenal,1,1819,Arsenal,Arsenal,0,1,0,1,0,5,1823.60009766
Bournemouth,2,1819,Bournemouth,Bournemouth,0,0,0,0,0,14,1673.37939453
Brighton,3,1819,Brighton,Brighton,0,0,0,0,0,17,1632.46728516
Burnley,4,1819,Burnley,Burnley,0,1,0,1,0,15,1691.31921387
Cardiff,5,1819,Cardiff,Cardiff,0,0,0,0,1,18,1576.0892334
Chelsea,6,1819,Chelsea,Chelsea,0,1,0,1,0,3,1836.60314941
Crystal Palace,7,1819,Crystal Palace,CrystalPalace,0,0,0,0,0,12,1692.55053711
Everton,8,1819,Everton,Everton,0,0,0,0,0,8,1699.16149902
Fulham,9,1819,Fulham,Fulham,0,0,0,0,1,19,1633.39855957
Huddersfield,10,1819,Huddersfield,Huddersfield,0,0,0,0,0,20,1566.70019531
Leicester,11,1819,Leicester,Leicester,0,0,0,0,0,9,1697.0970459
Liverpool,12,1819,Liverpool,Liverpool,1,0,0,1,0,2,1916.92907715
Man City,13,1819,Man City,ManCity,1,0,0,1,0,1,1974.56054688
Man Utd,14,1819,Man Utd,ManUnited,1,0,0,1,0,6,1884.5333252
Newcastle,15,1819,Newcastle,Newcastle,0,0,0,0,0,13,1670.47021484
Southampton,16,1819,Southampton,Southampton,0,0,0,0,0,16,1653.09985352
Tottenham,17,1819,Tottenham,Tottenham,1,0,0,1,0,4,1914.44775391
Watford,18,1819,Watford,Watford,0,0,0,0,0,11,1626.03417969
West Ham,19,1819,West Ham,WestHam,0,0,0,0,0,10,1673.33166504
Wolves,20,1819,Wolves,Wolves,0,0,0,0,1,7,1592.67797852
Arsenal,1,1718,Arsenal,Arsenal,0,1,0,1,0,6,1848.28649902
Bournemouth,2,1718,Bournemouth,Bournemouth,0,0,0,0,0,12,1653.75756836
Brighton,3,1718,Brighton,Brighton,0,0,0,0,1,15,1583.79980469
Burnley,4,1718,Burnley,Burnley,0,0,0,0,0,7,1628.98840332
Chelsea,5,1718,Chelsea,Chelsea,1,0,0,1,0,5,1909.3996582
Crystal Palace,6,1718,Crystal Palace,CrystalPalace,0,0,0,0,0,11,1642.86242676
Everton,7,1718,Everton,Everton,0,1,0,1,0,8,1751.50134277
Huddersfield,8,1718,Huddersfield,Huddersfield,0,0,0,0,1,16,1475.79931641
Leicester,9,1718,Leicester,Leicester,0,0,0,0,0,9,1716.99487305
Liverpool,10,1718,Liverpool,Liverpool,0,0,0,0,0,4,1837.41552734
Man City,11,1718,Man City,ManCity,1,0,0,1,0,1,1866.80700684
Man Utd,12,1718,Man Utd,ManUnited,1,0,0,1,0,2,1857.80200195
Newcastle,13,1718,Newcastle,Newcastle,0,0,0,0,1,10,1623.17907715
Southampton,14,1718,Southampton,Southampton,0,0,0,0,0,17,1692.06628418
Stoke,15,1718,Stoke,Stoke,0,0,0,0,0,19,1662.61376953
Swansea,16,1718,Swansea,Swansea,0,0,0,0,0,18,1649.37011719
Tottenham,17,1718,Tottenham,Tottenham,1,0,0,1,0,3,1887.51184082
Watford,18,1718,Watford,Watford,0,0,0,0,0,14,1603.66809082
West Brom,19,1718,West Brom,WestBrom,0,0,0,0,0,20,1645.13134766
